time,rr
2,0.71875
3,1
4,1
5,1
6,1
7,1
8,1
16,8
17,1
18,1
19,1
20,1
21,1
22,1
22.9921875,0.9921875
23.9921875,1
24.6171875,0.625
25,0.3828125
26,1
27,1
28,1
29,1
30,1
31,1
31.9921875,0.9921875
32.984375,0.9921875
33.453125,0.46875
33.984375,0.53125
34.7109375,0.7265625
35.59375,0.8828125
37.0546875,1.4609375
38.34375,1.2890625
39,0.65625
39.6171875,0.6171875
40.8828125,1.265625
41.625,0.7421875
43.046875,1.421875
44.328125,1.28125
45.0078125,0.6796875
45.609375,0.6015625
46.0078125,0.3984375
47.0078125,1
47.6640625,0.65625
48.0078125,0.34375
49.15625,1.1484375
50.46875,1.3125
51,0.53125
51.78125,0.78125
52.59375,0.8125
53.3359375,0.7421875
54.1015625,0.765625
55.390625,1.2890625
56,0.609375
56.421875,0.421875
57.109375,0.6875
57.6796875,0.5703125
58.046875,0.3671875
59.015625,0.96875
72.0078125,12.9921875
73.0078125,1
74.046875,1.0390625
74.921875,0.875
75.578125,0.65625
75.9921875,0.4140625
76.7109375,0.71875
77,0.2890625
77.609375,0.609375
78,0.390625
79.21875,1.21875
79.9921875,0.7734375
80.4296875,0.4375
81.0078125,0.578125
81.640625,0.6328125
82.03125,0.390625
83.015625,0.984375
84.0078125,0.9921875
85.015625,1.0078125
86.0078125,0.9921875
90.0078125,4
90.8828125,0.875
91.4453125,0.5625
92.328125,0.8828125
93.15625,0.828125
93.6015625,0.4453125
94.6875,1.0859375
95.3046875,0.6171875
96.15625,0.8515625
97.03125,0.875
97.2890625,0.2578125
98.015625,0.7265625
98.53125,0.515625
99.7890625,1.2578125
100.9609375,1.171875
101.8984375,0.9375
102.3359375,0.4375
103.390625,1.0546875
103.984375,0.59375
104.6171875,0.6328125
105.8984375,1.28125
107.140625,1.2421875
108.375,1.234375
108.8984375,0.5234375
109.6015625,0.703125
110.015625,0.4140625
111.0078125,0.9921875
112.0078125,1
113.0078125,1
113.2890625,0.28125
114.015625,0.7265625
114.5078125,0.4921875
115.734375,1.2265625
115.9921875,0.2578125
117.0625,1.0703125
118.2265625,1.1640625
119.453125,1.2265625
120.75,1.296875
121.96875,1.21875
123.1953125,1.2265625
124.4296875,1.234375
125.6953125,1.265625
126.9609375,1.265625
128.234375,1.2734375
129.515625,1.28125
129.875,0.359375
130.296875,0.421875
131.3828125,1.0859375
131.75,0.3671875
133.046875,1.296875
134.3046875,1.2578125
135.578125,1.2734375
136.8125,1.234375
138.0859375,1.2734375
139.359375,1.2734375
140.609375,1.25
141.859375,1.25
143.125,1.265625
144.3828125,1.2578125
145.640625,1.2578125
146.8828125,1.2421875
148.125,1.2421875
149.375,1.25
150.625,1.25
151.8515625,1.2265625
153.1171875,1.265625
154.3515625,1.234375
155.5546875,1.203125
156.5,0.9453125
158.1484375,1.6484375
159.21875,1.0703125
160.4921875,1.2734375
161.75,1.2578125
163.0234375,1.2734375
163.8515625,0.828125
165.0078125,1.15625
165.28125,0.2734375
166.5703125,1.2890625
167.8203125,1.25
169.0703125,1.25
170.3515625,1.28125
171.1640625,0.8125
172.609375,1.4453125
173.90625,1.296875
175.1640625,1.2578125
176.71875,1.5546875
177.5625,0.84375
179.03125,1.46875
180.3125,1.28125
181.609375,1.296875
182.8828125,1.2734375
183.640625,0.7578125
185.1015625,1.4609375
186.4296875,1.328125
187.6875,1.2578125
188.9921875,1.3046875
190.3203125,1.328125
191.5390625,1.21875
192.765625,1.2265625
194,1.234375
195.3359375,1.3359375
196.015625,0.6796875
196.3984375,0.3828125
197.6171875,1.21875
198.8203125,1.203125
199.4296875,0.609375
199.7890625,0.359375
201.2578125,1.46875
202.515625,1.2578125
203.7734375,1.2578125
205,1.2265625
206.25,1.25
207.5234375,1.2734375
208.8125,1.2890625
210.078125,1.265625
211.3515625,1.2734375
212,0.6484375
212.4375,0.4375
213,0.5625
213.4921875,0.4921875
214.7734375,1.28125
216,1.2265625
217.25,1.25
218.484375,1.234375
219.7265625,1.2421875
220.9609375,1.234375
222.1875,1.2265625
222.890625,0.703125
224.2265625,1.3359375
225.453125,1.2265625
226.6953125,1.2421875
227.9140625,1.21875
228.4765625,0.5625
229.171875,0.6953125
229.9921875,0.8203125
230.4296875,0.4375
230.9921875,0.5625
231.6875,0.6953125
232.9375,1.25
233.28125,0.34375
234.1953125,0.9140625
234.828125,0.6328125
235.453125,0.625
236.3984375,0.9453125
236.6953125,0.296875
237.09375,0.3984375
237.9453125,0.8515625
239.171875,1.2265625
239.9921875,0.8203125
240.375,0.3828125
240.984375,0.609375
241.6015625,0.6171875
242,0.3984375
242.984375,0.984375
244,1.015625
245.2265625,1.2265625
246.4609375,1.234375
247.71875,1.2578125
248.9765625,1.2578125
250.2734375,1.296875
251.5625,1.2890625
252.859375,1.296875
254.171875,1.3125
254.8828125,0.7109375
256.3828125,1.5
257.71875,1.3359375
259,1.28125
260.3671875,1.3671875
261.671875,1.3046875
262.9921875,1.3203125
264.3203125,1.328125
265.09375,0.7734375
266,0.90625
266.6015625,0.6015625
267,0.3984375
267.8828125,0.8828125
269.171875,1.2890625
270.453125,1.28125
271.7421875,1.2890625
273.0234375,1.28125
274.296875,1.2734375
275.265625,0.96875
275.546875,0.28125
276.8359375,1.2890625
278.1015625,1.265625
279.515625,1.4140625
280.4921875,0.9765625
281.3203125,0.828125
281.765625,0.4453125
282.9609375,1.1953125
284.1484375,1.1875
285.3671875,1.21875
286.5625,1.1953125
287.7578125,1.1953125
288.9609375,1.203125
290.1640625,1.203125
291.3984375,1.234375
292.6328125,1.234375
293.890625,1.2578125
295.109375,1.21875
296.3671875,1.2578125
297.6328125,1.265625
298.3828125,0.75
299.828125,1.4453125
301.09375,1.265625
302.3671875,1.2734375
303.6328125,1.265625
304.0078125,0.375
304.53125,0.5234375
305.984375,1.453125
307.234375,1.25
308.5234375,1.2890625
309.78125,1.2578125
310.9765625,1.1953125
312.296875,1.3203125
313.5625,1.265625
314.8359375,1.2734375
316.078125,1.2421875
317.34375,1.265625
318,0.65625
318.6171875,0.6171875
319.609375,0.9921875
319.875,0.265625
320.9765625,1.1015625
322,1.0234375
322.9921875,0.9921875
323.578125,0.5859375
323.96875,0.390625
324.5546875,0.5859375
326.015625,1.4609375
327.015625,1
329.2109375,2.1953125
330.453125,1.2421875
331.6875,1.234375
332.9921875,1.3046875
334,1.0078125
334.765625,0.765625
335.3203125,0.5546875
336.5078125,1.1875
336.8984375,0.390625
337.8046875,0.90625
338.9453125,1.140625
339.78125,0.8359375
340.4375,0.65625
341.2265625,0.7890625
341.96875,0.7421875
342.59375,0.625
342.875,0.28125
343.859375,0.984375
345.1015625,1.2421875
346.3671875,1.265625
347.1875,0.8203125
347.828125,0.640625
348.5703125,0.7421875
349.53125,0.9609375
349.8203125,0.2890625
351.0625,1.2421875
352.203125,1.140625
352.984375,0.78125
353.390625,0.40625
354.59375,1.203125
355.7578125,1.1640625
356.03125,0.2734375
357.0078125,0.9765625
357.7578125,0.75
359.171875,1.4140625
360.421875,1.25
361.65625,1.234375
362.015625,0.359375
362.4140625,0.3984375
363.84375,1.4296875
365.09375,1.25
366.375,1.28125
367.078125,0.703125
368.5234375,1.4453125
369.7890625,1.265625
370.984375,1.1953125
371.8125,0.828125
372.859375,1.046875
373.25,0.390625
374.4765625,1.2265625
375.734375,1.2578125
375.984375,0.25
376.578125,0.59375
377.9453125,1.3671875
379.1484375,1.203125
380.3828125,1.234375
381.09375,0.7109375
382.46875,1.375
383.71875,1.25
384.9375,1.21875
386.2265625,1.2890625
387.2421875,1.015625
388.6640625,1.421875
389.921875,1.2578125
391.1875,1.265625
391.8984375,0.7109375
392.8359375,0.9375
393.421875,0.5859375
393.6953125,0.2734375
394.3125,0.6171875
394.6015625,0.2890625
395.3203125,0.71875
395.8671875,0.546875
396.859375,0.9921875
397.828125,0.96875
398.2109375,0.3828125
399,0.7890625
399.4765625,0.4765625
399.921875,0.4453125
400.8984375,0.9765625
401.3671875,0.46875
402.0234375,0.65625
403.2890625,1.265625
403.9921875,0.703125
404.5546875,0.5625
404.9765625,0.421875
405.8203125,0.84375
407.09375,1.2734375
408.3359375,1.2421875
409.59375,1.2578125
410.0078125,0.4140625
410.7734375,0.765625
412.1015625,1.328125
413.3515625,1.25
414.2109375,0.859375
415.640625,1.4296875
416.90625,1.265625
418.1484375,1.2421875
419.4140625,1.265625
420.640625,1.2265625
421.0078125,0.3671875
422.0234375,1.015625
423.140625,1.1171875
423.53125,0.390625
424.140625,0.609375
425.4140625,1.2734375
426.65625,1.2421875
427.9296875,1.2734375
429.1796875,1.25
429.984375,0.8046875
431.46875,1.484375
432.703125,1.234375
433.921875,1.21875
435.1328125,1.2109375
435.9921875,0.859375
437.3515625,1.359375
438.5390625,1.1875
439.7734375,1.234375
440.9765625,1.203125
442,1.0234375
442.9921875,0.9921875
444.359375,1.3671875
445.640625,1.28125
446.8828125,1.2421875
447.703125,0.8203125
449.125,1.421875
450.3984375,1.2734375
450.84375,0.4453125
451.1328125,0.2890625
451.65625,0.5234375
452.84375,1.1875
453.734375,0.890625
455.1796875,1.4453125
456.4453125,1.265625
457.7109375,1.265625
458.984375,1.2734375
460.2734375,1.2890625
461.5546875,1.28125
462.8203125,1.265625
464.109375,1.2890625
465.375,1.265625
466.2578125,0.8828125
467.7734375,1.515625
469.0546875,1.28125
470.3515625,1.296875
471.15625,0.8046875
472.65625,1.5
473.953125,1.296875
475.2734375,1.3203125
476.5703125,1.296875
477.859375,1.2890625
479.15625,1.296875
480.46875,1.3125
481.6640625,1.1953125
483.015625,1.3515625
483.75,0.734375
485.1796875,1.4296875
486.4453125,1.265625
487.75,1.3046875
488.9921875,1.2421875
489.7109375,0.71875
490.265625,0.5546875
491.1328125,0.8671875
492.3984375,1.265625
493.6796875,1.28125
494.9375,1.2578125
496.2109375,1.2734375
497.0859375,0.875
498.2578125,1.171875
498.5546875,0.296875
499.0078125,0.453125
499.8203125,0.8125
501.109375,1.2890625
502.3828125,1.2734375
503.2578125,0.875
503.734375,0.4765625
504.71875,0.984375
505.984375,1.265625
507.3203125,1.3359375
508.0625,0.7421875
509.5546875,1.4921875
517.15625,7.6015625
517.546875,0.390625
518.4453125,0.8984375
518.8671875,0.421875
519.25,0.3828125
519.75,0.5
520,0.25
520.2890625,0.2890625
520.9921875,0.703125
521.2421875,0.25
521.7421875,0.5
528,6.2578125
528.7421875,0.7421875
528.9921875,0.25
529.3359375,0.34375
529.90625,0.5703125
541.5859375,11.6796875
542.203125,0.6171875
544.0625,1.859375
551.984375,7.921875
552.25,0.265625
552.6484375,0.3984375
553.515625,0.8671875
556.109375,2.59375
556.9921875,0.8828125
557.421875,0.4296875
558.015625,0.59375
559.0078125,0.9921875
563.078125,4.0703125
563.453125,0.375
563.875,0.421875
564.4765625,0.6015625
565.1796875,0.703125
565.84375,0.6640625
566.4140625,0.5703125
570.3203125,3.90625
570.6640625,0.34375
571.265625,0.6015625
571.6484375,0.3828125
572.0703125,0.421875
572.8671875,0.796875
573.421875,0.5546875
573.875,0.453125
574.5625,0.6875
575,0.4375
575.484375,0.484375
576.4140625,0.9296875
576.9921875,0.578125
577.9921875,1
578.2578125,0.265625
579.1953125,0.9375
580.09375,0.8984375
581.7265625,1.6328125
587.2734375,5.546875
587.796875,0.5234375
588.359375,0.5625
588.8671875,0.5078125
589.5703125,0.703125
589.9375,0.3671875
590.2421875,0.3046875
590.703125,0.4609375
590.9609375,0.2578125
591.359375,0.3984375
591.7265625,0.3671875
592.015625,0.2890625
592.3984375,0.3828125
592.9609375,0.5625
593.3515625,0.390625
593.8671875,0.515625
594.984375,1.1171875
595.359375,0.375
595.859375,0.5
596.390625,0.53125
596.796875,0.40625
597.1171875,0.3203125
597.5390625,0.421875
598.0859375,0.546875
598.359375,0.2734375
598.734375,0.375
599.078125,0.34375
613.1953125,14.1171875
614.0078125,0.8125
614.6015625,0.59375
615.6796875,1.078125
616.0859375,0.40625
618.8359375,2.75
622.8515625,4.015625
624.4140625,1.5625
625.203125,0.7890625
630.09375,4.890625
630.984375,0.890625
631.7578125,0.7734375
632.453125,0.6953125
633.1796875,0.7265625
635.6015625,2.421875
636.15625,0.5546875
638.4296875,2.2734375
639.515625,1.0859375
640.1015625,0.5859375
643.53125,3.4296875
644.0703125,0.5390625
644.3828125,0.3125
646.0078125,1.625
